CornerCursor,,,,
BILL OF MATERIALS,,,,
,,,,
Item,Quatitiy,Unit Price,Total Price,Notes
PMW3360 Sensor,1.00,10.00,10.00,
38mm trackball,1.00,9.99,9.99,https://ploopy.co/shop/tracking-ball/
W25Q128JVS Flash Storage,1.00,2.00,2.00,
ABM8-272-T3 Crystal,1.00,0.60,0.60,
TCR2F19 LDO regulator,1.00,0.20,0.20,
TLV73333PDBVR LDO regulator,1.00,0.20,0.20,
RP2040 chip,1.00,1.00,1.00,
D2LS-20M switch,2.00,1.50,3.00,
100n capacitor (Metric 0603),11.00,0.25,2.75,
1u capactior (Metric 0603),5.00,0.25,1.25,
0.1u capacitor (Metric 0603),1.00,0.25,0.25,
15p capacitor (Metric 0603),2.00,0.25,0.50,
4.7u capacitor (Metric 0603),1.00,0.25,0.25,
39 resisitor (Metric 0603),1.00,0.20,0.20,
10k resisitor (Metric 0603),2.00,0.20,0.40,
27.4 resistor (Metric 0603),2.00,0.20,0.40,
1k resistor (Metric 0603),2.00,0.20,0.40,
SS49E Hall Effect sensor,2.00,3.00,6.00,
USB C to 4 Pin Connector,5.00,1.00,5.00,
B3S-1000 switch,2.00,0.75,1.50,
2mm Zirconia Oxide Static Bearing,3.00,2.00,6.00,
2x2mm neodymium cylinder magnets (axially magnetized),40.00,0.15,6.00,
6808-ZZ Ball Bearing 40x52x7 Shielded,1.00,22.00,22.00,
Wires to hookup hall sensor,,,0.00,
M3x6 countersunk screws (Buttons),4.00,0.20,0.80,
M3x8 countersunk screws (Top),2.00,0.20,0.40,
M3x2 countersunk screws (Board),2.00,0.20,0.40,
M3x12 countersunk screws (Case),3.00,0.20,0.60,
,,Price for All:,82.09,
